Capacity data calculated from MERRA-2 by Lei Duan,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,solar
2015,8,1,1,0.305369804
2015,8,1,2,0.129734645
2015,8,1,3,0.007221768
2015,8,1,4,0
2015,8,1,5,0
2015,8,1,6,0
2015,8,1,7,0
2015,8,1,8,0
2015,8,1,9,0
2015,8,1,10,0
2015,8,1,11,0
2015,8,1,12,0
2015,8,1,13,0.037753434
2015,8,1,14,0.276474946
2015,8,1,15,0.463951848
2015,8,1,16,0.577950385
2015,8,1,17,0.62972585
2015,8,1,18,0.64470214
2015,8,1,19,0.639796639
2015,8,1,20,0.62136076
2015,8,1,21,0.595585637
2015,8,1,22,0.550168698
2015,8,1,23,0.4875749
2015,8,1,24,0.384264858
2015,8,2,1,0.245387246
2015,8,2,2,0.09039434
2015,8,2,3,0.007323559
2015,8,2,4,0
2015,8,2,5,0
2015,8,2,6,0
2015,8,2,7,0
2015,8,2,8,0
2015,8,2,9,0
2015,8,2,10,0
2015,8,2,11,0
2015,8,2,12,0
2015,8,2,13,0.043243192
2015,8,2,14,0.27806103
2015,8,2,15,0.48744307
2015,8,2,16,0.590130254
2015,8,2,17,0.633398122
2015,8,2,18,0.645217035
2015,8,2,19,0.637160622
2015,8,2,20,0.615257259
2015,8,2,21,0.577837274
2015,8,2,22,0.524644692
2015,8,2,23,0.46424541
2015,8,2,24,0.380179001
2015,8,3,1,0.269832539
2015,8,3,2,0.123082335
2015,8,3,3,0.005114137
2015,8,3,4,0
2015,8,3,5,0
2015,8,3,6,0
2015,8,3,7,0
2015,8,3,8,0
2015,8,3,9,0
2015,8,3,10,0
2015,8,3,11,0
2015,8,3,12,0
2015,8,3,13,0.0247522
2015,8,3,14,0.276177064
2015,8,3,15,0.528445047
2015,8,3,16,0.66220966
2015,8,3,17,0.722798999
2015,8,3,18,0.740898069
2015,8,3,19,0.737717653
2015,8,3,20,0.728467158
2015,8,3,21,0.71215856
2015,8,3,22,0.684153946
2015,8,3,23,0.644352501
2015,8,3,24,0.564653447
2015,8,4,1,0.426570723
2015,8,4,2,0.192649559
2015,8,4,3,0.007971084
2015,8,4,4,0
2015,8,4,5,0
2015,8,4,6,0
2015,8,4,7,0
2015,8,4,8,0
2015,8,4,9,0
2015,8,4,10,0
2015,8,4,11,0
2015,8,4,12,0
2015,8,4,13,0.041628582
2015,8,4,14,0.361780881
2015,8,4,15,0.627844921
2015,8,4,16,0.744189356
2015,8,4,17,0.795180334
2015,8,4,18,0.806562674
2015,8,4,19,0.799717869
2015,8,4,20,0.793139722
2015,8,4,21,0.793035142
2015,8,4,22,0.786039671
2015,8,4,23,0.755552012
2015,8,4,24,0.671466442
2015,8,5,1,0.51538314
2015,8,5,2,0.189002016
2015,8,5,3,0.006148081
2015,8,5,4,0
2015,8,5,5,0
2015,8,5,6,0
2015,8,5,7,0
2015,8,5,8,0
2015,8,5,9,0
2015,8,5,10,0
2015,8,5,11,0
2015,8,5,12,0
2015,8,5,13,0.048391205
2015,8,5,14,0.36752534
2015,8,5,15,0.601097667
2015,8,5,16,0.709578516
2015,8,5,17,0.767145908
2015,8,5,18,0.778743642
2015,8,5,19,0.772140099
2015,8,5,20,0.7612238
2015,8,5,21,0.754472524
2015,8,5,22,0.741584021
2015,8,5,23,0.704988092
2015,8,5,24,0.617851716
2015,8,6,1,0.447238135
2015,8,6,2,0.166007291
2015,8,6,3,0.006111536
2015,8,6,4,0
2015,8,6,5,0
2015,8,6,6,0
2015,8,6,7,0
2015,8,6,8,0
2015,8,6,9,0
2015,8,6,10,0
2015,8,6,11,0
2015,8,6,12,0
2015,8,6,13,0.039641075
2015,8,6,14,0.319650061
2015,8,6,15,0.527528153
2015,8,6,16,0.645222414
2015,8,6,17,0.705917719
2015,8,6,18,0.721956153
2015,8,6,19,0.714960083
2015,8,6,20,0.698633966
2015,8,6,21,0.68325909
2015,8,6,22,0.655257653
2015,8,6,23,0.603665262
2015,8,6,24,0.499779499
2015,8,7,1,0.328302867
2015,8,7,2,0.090014853
2015,8,7,3,0.002338672
2015,8,7,4,0
2015,8,7,5,0
2015,8,7,6,0
2015,8,7,7,0
2015,8,7,8,0
2015,8,7,9,0
2015,8,7,10,0
2015,8,7,11,0
2015,8,7,12,0
2015,8,7,13,0.027954237
2015,8,7,14,0.234989595
2015,8,7,15,0.45907081
2015,8,7,16,0.597023649
2015,8,7,17,0.666192321
2015,8,7,18,0.680768433
2015,8,7,19,0.674790036
2015,8,7,20,0.660526036
2015,8,7,21,0.641642625
2015,8,7,22,0.602707412
2015,8,7,23,0.55606768
2015,8,7,24,0.47266154
2015,8,8,1,0.337760387
2015,8,8,2,0.13082976
2015,8,8,3,0.004079566
2015,8,8,4,0
2015,8,8,5,0
2015,8,8,6,0
2015,8,8,7,0
2015,8,8,8,0
2015,8,8,9,0
2015,8,8,10,0
2015,8,8,11,0
2015,8,8,12,0
2015,8,8,13,0.036393538
2015,8,8,14,0.280417028
2015,8,8,15,0.562627133
2015,8,8,16,0.691975511
2015,8,8,17,0.745320103
2015,8,8,18,0.756890013
2015,8,8,19,0.74684091
2015,8,8,20,0.734478283
2015,8,8,21,0.722408539
2015,8,8,22,0.699439435
2015,8,8,23,0.654485341
2015,8,8,24,0.566614417
2015,8,9,1,0.406893165
2015,8,9,2,0.178410888
2015,8,9,3,0.004611922
2015,8,9,4,0
2015,8,9,5,0
2015,8,9,6,0
2015,8,9,7,0
2015,8,9,8,0
2015,8,9,9,0
2015,8,9,10,0
2015,8,9,11,0
2015,8,9,12,0
2015,8,9,13,0.030062798
2015,8,9,14,0.31431455
2015,8,9,15,0.607653662
2015,8,9,16,0.743622767
2015,8,9,17,0.794852901
2015,8,9,18,0.793012758
2015,8,9,19,0.780480568
2015,8,9,20,0.763712328
2015,8,9,21,0.754695239
2015,8,9,22,0.741718295
2015,8,9,23,0.710650015
2015,8,9,24,0.620104271
2015,8,10,1,0.466550376
2015,8,10,2,0.178827898
2015,8,10,3,0.00440016
2015,8,10,4,0
2015,8,10,5,0
2015,8,10,6,0
2015,8,10,7,0
2015,8,10,8,0
2015,8,10,9,0
2015,8,10,10,0
2015,8,10,11,0
2015,8,10,12,0
2015,8,10,13,0.020970939
2015,8,10,14,0.284257333
2015,8,10,15,0.565062961
2015,8,10,16,0.694160336
2015,8,10,17,0.749057197
2015,8,10,18,0.75776352
2015,8,10,19,0.744269808
2015,8,10,20,0.722103225
2015,8,10,21,0.698386243
2015,8,10,22,0.666322586
2015,8,10,23,0.618444066
2015,8,10,24,0.530830735
2015,8,11,1,0.377933268
2015,8,11,2,0.197509229
2015,8,11,3,0.00715688
2015,8,11,4,0
2015,8,11,5,0
2015,8,11,6,0
2015,8,11,7,0
2015,8,11,8,0
2015,8,11,9,0
2015,8,11,10,0
2015,8,11,11,0
2015,8,11,12,0
2015,8,11,13,0.009863514
2015,8,11,14,0.193895906
2015,8,11,15,0.470195577
2015,8,11,16,0.613675093
2015,8,11,17,0.677304246
2015,8,11,18,0.700964965
2015,8,11,19,0.692127443
2015,8,11,20,0.670158747
2015,8,11,21,0.645124575
2015,8,11,22,0.600279738
2015,8,11,23,0.539291111
2015,8,11,24,0.442326489
2015,8,12,1,0.295771333
2015,8,12,2,0.128389857
2015,8,12,3,0.009491199
2015,8,12,4,0
2015,8,12,5,0
2015,8,12,6,0
2015,8,12,7,0
2015,8,12,8,0
2015,8,12,9,0
2015,8,12,10,0
2015,8,12,11,0
2015,8,12,12,0
2015,8,12,13,0.014817283
2015,8,12,14,0.230075129
2015,8,12,15,0.482544839
2015,8,12,16,0.614969352
2015,8,12,17,0.687747443
2015,8,12,18,0.70507384
2015,8,12,19,0.69992421
2015,8,12,20,0.685388725
2015,8,12,21,0.671242331
2015,8,12,22,0.648735925
