Capacity data calculated from MERRA-2 by Lei Duan,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,wind
2015,8,1,1,0.174281405
2015,8,1,2,0.275520379
2015,8,1,3,0.367695432
2015,8,1,4,0.397200114
2015,8,1,5,0.386157648
2015,8,1,6,0.364218608
2015,8,1,7,0.343446736
2015,8,1,8,0.326516211
2015,8,1,9,0.313383251
2015,8,1,10,0.295617351
2015,8,1,11,0.281440227
2015,8,1,12,0.269492738
2015,8,1,13,0.165284606
2015,8,1,14,0.072621146
2015,8,1,15,0.069227942
2015,8,1,16,0.098851898
2015,8,1,17,0.115067399
2015,8,1,18,0.125229228
2015,8,1,19,0.136328136
2015,8,1,20,0.148778773
2015,8,1,21,0.161854981
2015,8,1,22,0.17255799
2015,8,1,23,0.182724265
2015,8,1,24,0.194192236
2015,8,2,1,0.238993849
2015,8,2,2,0.37964906
2015,8,2,3,0.48852741
2015,8,2,4,0.537742822
2015,8,2,5,0.550462637
2015,8,2,6,0.546876661
2015,8,2,7,0.533485016
2015,8,2,8,0.516366549
2015,8,2,9,0.490878121
2015,8,2,10,0.456569455
2015,8,2,11,0.426119792
2015,8,2,12,0.371912702
2015,8,2,13,0.206524327
2015,8,2,14,0.172273456
2015,8,2,15,0.215061661
2015,8,2,16,0.249000182
2015,8,2,17,0.261898597
2015,8,2,18,0.264883032
2015,8,2,19,0.261136013
2015,8,2,20,0.255123264
2015,8,2,21,0.249274629
2015,8,2,22,0.244660131
2015,8,2,23,0.24147597
2015,8,2,24,0.245599152
2015,8,3,1,0.279785374
2015,8,3,2,0.42711607
2015,8,3,3,0.544720623
2015,8,3,4,0.55723171
2015,8,3,5,0.523654874
2015,8,3,6,0.475175639
2015,8,3,7,0.429687664
2015,8,3,8,0.389467857
2015,8,3,9,0.358403856
2015,8,3,10,0.314923335
2015,8,3,11,0.274267706
2015,8,3,12,0.230313594
2015,8,3,13,0.118693513
2015,8,3,14,0.074804676
2015,8,3,15,0.110286348
2015,8,3,16,0.122148839
2015,8,3,17,0.11845516
2015,8,3,18,0.115730039
2015,8,3,19,0.117855734
2015,8,3,20,0.122769981
2015,8,3,21,0.130480043
2015,8,3,22,0.145348486
2015,8,3,23,0.165428086
2015,8,3,24,0.192053579
2015,8,4,1,0.243022549
2015,8,4,2,0.359732687
2015,8,4,3,0.428648648
2015,8,4,4,0.409481016
2015,8,4,5,0.377337684
2015,8,4,6,0.35291118
2015,8,4,7,0.336121827
2015,8,4,8,0.315222069
2015,8,4,9,0.296423159
2015,8,4,10,0.259482488
2015,8,4,11,0.231110686
2015,8,4,12,0.218988061
2015,8,4,13,0.158983553
2015,8,4,14,0.119570758
2015,8,4,15,0.162192435
2015,8,4,16,0.182576114
2015,8,4,17,0.182704924
2015,8,4,18,0.177543112
2015,8,4,19,0.173122715
2015,8,4,20,0.169885319
2015,8,4,21,0.168225332
2015,8,4,22,0.160775028
2015,8,4,23,0.149834657
2015,8,4,24,0.143792787
2015,8,5,1,0.172970367
2015,8,5,2,0.301822259
2015,8,5,3,0.387779318
2015,8,5,4,0.401813436
2015,8,5,5,0.393597718
2015,8,5,6,0.378634699
2015,8,5,7,0.363906976
2015,8,5,8,0.349439365
2015,8,5,9,0.33701132
2015,8,5,10,0.311554498
2015,8,5,11,0.293217805
2015,8,5,12,0.277153672
2015,8,5,13,0.180263708
2015,8,5,14,0.103695479
2015,8,5,15,0.113048166
2015,8,5,16,0.111175413
